AR,L,phi,QW,Qa,h,VA,R,sigma
0.6,1,10,1.60,0,0.94,0.00,0.004,19.93662346
0.6,1,10,3.20,3.467140192,0.94,2.18,0.004,4.780870938
0.6,1,10,4.80,10.84674134,0.94,6.82,0.004,1.330923555
0.6,1,10,6.40,16.68362414,0.94,10.49,0.004,0.069291758
0.6,1,10,8.00,23.45886139,0.94,14.75,0.004,-0.691540263
0.6,1,10,9.60,29.53430889,0.94,18.57,0.004,-1.085184283
0.6,1,10,11.55,36.94571865,0.94,23.23,0.004,-1.389263853
0.6,2,10,1.60,0.311017673,0.94,0.44,0.004,19.90349833
0.6,2,10,3.20,4.087408392,0.94,2.57,0.004,4.701629853
0.6,2,10,4.80,10.86264565,0.94,6.83,0.004,1.328328525
0.6,2,10,6.40,17.94006485,0.94,11.28,0.004,-0.114623483
0.6,2,10,8.00,26.95781021,0.94,16.95,0.004,-1.168843212
0.6,2,10,9.60,34.97358387,0.94,21.99,0.004,-1.744470103
0.6,2,10,11.50,43.48239122,0.94,27.34,0.004,-2.089755424
0.6,4,10,1.60,0,0.94,0.00,0.004,19.93662346
0.6,4,10,3.20,4.007886828,0.94,2.52,0.004,4.712516145
0.6,4,10,4.80,10.4332292,0.94,6.56,0.004,1.397059739
0.6,4,10,6.40,18.43309855,0.94,11.59,0.004,-0.190439342
0.6,4,10,8.00,25.92402988,0.94,16.30,0.004,-1.020926522
0.6,4,10,9.60,35.40300031,0.94,22.26,0.004,-1.801254199
0.6,4,10,11.45,46.23383734,0.94,29.07,0.004,-2.434095792
0.6,6,10,1.60,0,0.94,0.00,0.00400002,19.93662346
0.6,6,10,3.20,3.785226448,0.94,2.38,0.00400002,4.741859942
0.6,6,10,4.80,10.9262629,0.94,6.87,0.00400002,1.317910384
0.6,6,10,6.40,17.43112684,0.94,10.96,0.00400002,-0.038517822
0.6,6,10,8.00,27.16456628,0.94,17.08,0.00400002,-1.199120535
0.6,6,10,9.60,33.00144908,0.94,20.75,0.00400002,-1.492583027
0.6,6,10,11.45,40.49238041,0.94,25.46,0.00400002,-1.7764018
0.6,1,15,1.90,0,1.41,0.00,0.00571,31.81023577
0.6,1,15,3.80,0.883572934,1.41,1.25,0.00571,7.845917134
0.6,1,15,5.70,3.260384126,1.41,2.05,0.00571,3.406993394
0.6,1,15,7.60,5.407466355,1.41,3.40,0.00571,1.790895048
0.6,1,15,9.50,7.840826215,1.41,4.93,0.00571,1.006996979
0.6,1,15,11.40,10.97397584,1.41,6.90,0.00571,0.522571155
0.6,1,15,13.30,14.23435996,1.41,8.95,0.00571,0.202898178
0.6,2,15,1.90,0,1.41,0.00,0.00571,31.81023577
0.6,2,15,3.80,3.037723746,1.41,1.91,0.00571,7.703573355
0.6,2,15,5.70,5.868691426,1.41,3.69,0.00571,3.12144436
0.6,2,15,7.60,11.57833972,1.41,7.28,0.00571,1.083844505
0.6,2,15,9.50,17.68559584,1.41,11.12,0.00571,-0.077911596
0.6,2,15,11.40,27.40313097,1.41,17.23,0.00571,-1.36769347
0.6,2,15,13.30,35.18033993,1.41,22.12,0.00571,-2.076910554
0.6,4,15,1.90,0,1.41,0.00,0.00571,31.81023577
0.6,4,15,3.80,3.180862562,1.41,2.00,0.00571,7.679555914
0.6,4,15,5.70,6.441246688,1.41,4.05,0.00571,3.036922622
0.6,4,15,7.60,12.07137342,1.41,7.59,0.00571,1.005190626
0.6,4,15,9.50,20.72331959,1.41,13.03,0.00571,-0.581618563
0.6,4,15,11.40,31.12474017,1.41,19.57,0.00571,-2.020716714
0.6,4,15,13.30,40.61961491,1.41,25.54,0.00571,-2.985047884
0.6,6,15,1.90,0,1.41,0.00,0.00571002,31.81023577
0.6,6,15,3.80,3.403522941,1.41,2.14,0.00571002,7.639997775
0.6,6,15,5.70,6.393533749,1.41,4.02,0.00571002,3.044266403
0.6,6,15,7.60,12.77116319,1.41,8.03,0.00571002,0.887922175
0.6,6,15,9.50,22.727263,1.41,14.29,0.00571002,-0.957524077
0.6,6,15,11.40,31.91995581,1.41,20.07,0.00571002,-2.171020048
0.6,6,15,13.30,40.25381572,1.41,25.31,0.00571002,-2.919886519
0.6,1,20,2.30,0,1.88,0.00,0.00697,38.59187603
0.6,1,20,4.60,1.52681403,1.88,0.96,0.00697,9.57165945
0.6,1,20,6.90,3.260384126,1.88,2.05,0.00697,4.13333204
0.6,1,20,9.20,4.707676591,1.88,2.96,0.00697,2.230624568
0.6,1,20,11.50,7.125132138,1.88,4.48,0.00697,1.277778623
0.6,1,20,13.80,9.431257496,1.88,5.93,0.00697,0.748474903
0.6,1,20,16.20,15.42718342,1.88,9.70,0.00697,0.149742789
0.6,2,20,2.30,0,1.88,0.00,0.00697,38.59187603
0.6,2,20,4.60,3.419427254,1.88,2.15,0.00697,9.265220598
0.6,2,20,6.90,7.109227826,1.88,4.47,0.00697,3.552678711
0.6,2,20,9.20,13.12105807,1.88,8.25,0.00697,1.003078585
0.6,2,20,11.50,17.3834139,1.88,10.93,0.00697,-0.039018327
0.6,2,20,13.80,25.14471855,1.88,15.81,0.00697,-1.227632072
0.6,2,20,16.20,34.21017685,1.88,21.51,0.00697,-2.310997482
0.6,4,20,2.30,0,1.88,0.00,0.00697,38.59187603
0.6,4,20,4.60,3.546661756,1.88,2.23,0.00697,9.236207068
0.6,4,20,6.90,7.506835646,1.88,4.72,0.00697,3.468129516
0.6,4,20,9.20,13.82084783,1.88,8.69,0.00697,0.848786884
