AR,phi,R/L,Fr,Qa/Qw,sigma
0.6,10,0.004000,10.380,0,19.93662346
0.6,10,0.004000,20.760,1.08348131,4.780870938
0.6,10,0.004000,31.140,2.259737778,1.330923555
0.6,10,0.004000,41.520,2.606816271,0.069291758
0.6,10,0.004000,51.900,2.932357674,-0.691540263
0.6,10,0.004000,62.280,3.076490509,-1.085184283
0.6,10,0.004000,74.931,3.19876352,-1.389263853
0.6,10,0.002000,10.380,0.194386045,19.90349833
0.6,10,0.002000,20.760,1.277315122,4.701629853
0.6,10,0.002000,31.140,2.263051177,1.328328525
0.6,10,0.002000,41.520,2.803135133,-0.114623483
0.6,10,0.002000,51.900,3.369726276,-1.168843212
0.6,10,0.002000,62.280,3.643081653,-1.744470103
0.6,10,0.002000,74.607,3.781077497,-2.089755424
0.6,10,0.001000,10.380,0,19.93662346
0.6,10,0.001000,20.760,1.252464634,4.712516145
0.6,10,0.001000,31.140,2.173589417,1.397059739
0.6,10,0.001000,41.520,2.880171648,-0.190439342
0.6,10,0.001000,51.900,3.240503735,-1.020926522
0.6,10,0.001000,62.280,3.687812533,-1.801254199
0.6,10,0.001000,74.282,4.037889724,-2.434095792
0.6,10,0.000667,10.380,0,19.93662346
0.6,10,0.000667,20.760,1.182883265,4.741859942
0.6,10,0.000667,31.140,2.276304771,1.317910384
0.6,10,0.000667,41.520,2.723613569,-0.038517822
0.6,10,0.000667,51.900,3.395570785,-1.199120535
0.6,10,0.000667,62.280,3.437650946,-1.492583027
0.6,10,0.000667,74.282,3.536452438,-1.7764018
0.6,15,0.005710,6.710,0,31.81023577
0.6,15,0.005710,13.419,0.232519193,7.845917134
0.6,15,0.005710,20.129,0.571997215,3.406993394
0.6,15,0.005710,26.838,0.711508731,1.790895048
0.6,15,0.005710,33.548,0.825350128,1.006996979
0.6,15,0.005710,40.258,0.962629459,0.522571155
0.6,15,0.005710,46.967,1.070252629,0.202898178
0.6,15,0.002855,6.710,0,31.81023577
0.6,15,0.002855,13.419,0.799400986,7.703573355
0.6,15,0.002855,20.129,1.029594987,3.12144436
0.6,15,0.002855,26.838,1.523465753,1.083844505
0.6,15,0.002855,33.548,1.861641668,-0.077911596
